Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
900969,Barbeque Nation,India,Kochi,213,4.5,"European, North Indian, Mediterranean, American"
95421,Dhe Puttu,India,Kochi,662,4.4,Kerala
900282,Thakkaaram,India,Kochi,361,3.6,"Kerala, South Indian"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
101834,Blackout,India,Jaipur,676,3.9,"North Indian, European, Continental, Finger Food"
100305,The Forresta Kitchen & Bar,India,Jaipur,916,4.0,"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani"
103065,WTF,India,Jaipur,212,4.0,"Continental, Italian, North Indian, Lebanese, Thai"
101212,Tapri Central,India,Jaipur,1469,4.7,"Cafe, Fast Food, Street Food"
103147,Meraaki Kitchen,India,Jaipur,67,3.9,"Modern Indian, Asian"
100306,Replay,India,Jaipur,1121,4.3,"North Indian, Continental, Chinese, Italian, Mexican"
103019,Mutual's,India,Jaipur,198,4.2,"Cafe, Mexican, Italian, North Indian, Fast Food"
101259,On The House,India,Jaipur,843,4.4,"Italian, Continental, Mexican, Cafe, Bakery"
102531,Cafe LazyMojo,India,Jaipur,798,4.3,"Cafe, Mexican, Italian, Continental"
101884,Mamu's Infusion,India,Jaipur,582,4.0,"Italian, Chinese, Mexican, Thai, North Indian"
103090,O2- The Plant Cafe,India,Jaipur,148,4.1,Continental
18209498,Zolocrust - Hotel Clarks Amer,India,Jaipur,322,4.9,"Italian, Bakery, Continental"
102504,Decked Up By Garden Cafe,India,Jaipur,310,3.9,"Cafe, Fast Food, North Indian"
102867,Calzone- Dine & Rooftop Lounge,India,Jaipur,112,3.7,"Continental, Mexican, North Indian, Chinese"
18454586,Sky Beach,India,Jaipur,46,2.6,"North Indian, Continental, Chinese, Mexican, Italian, Desserts"
102215,Monarch Restaurant - Holiday Inn Jaipur City Centre,India,Jaipur,420,4.5,"North Indian, Chinese, Continental, Rajasthani"
101311,Taruveda Bistro,India,Jaipur,633,4.2,"Cafe, Italian, Japanese, Continental"
102216,Chao Chinese Bistro - Holiday Inn Jaipur City Centre,India,Jaipur,308,4.3,"Chinese, Asian"
100080,Chokhi Dhani,India,Jaipur,1478,4.3,Rajasthani
102813,Nibs Cafe,India,Jaipur,389,4.4,"Cafe, Italian, Continental"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18143128,Mocha,India,Ahmedabad,944,4.4,"Cafe, Continental, Desserts"
18438944,Blue -  Rooftop Cafe Restaurant Bistro,India,Ahmedabad,63,3.8,"North Indian, Cafe, Italian, Mexican, Continental"
18438909,La Pino'z Pizza,India,Ahmedabad,113,4.4,"Pizza, Italian"
18396250,Huber & Holly,India,Ahmedabad,217,4.5,"Ice Cream, Desserts, Continental"
111826,Yanki Sizzlers,India,Ahmedabad,1041,4.1,"Continental, Italian, Chinese"
18335583,Brick Kitchen,India,Ahmedabad,325,4.3,"North Indian, Chinese, Continental"
113537,Puffizza,India,Ahmedabad,744,4.3,"Italian, Fast Food"
113325,Nini's Kitchen,India,Ahmedabad,1138,4.5,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean"
113702,@Mango,India,Ahmedabad,769,4.1,"North Indian, Continental, Mexican, Italian"
113433,Fozzie's Pizzaiolo,India,Ahmedabad,731,4.3,"Pizza, Italian, Beverages, Desserts"
18371341,Mazzo,India,Ahmedabad,166,3.9,"Cafe, American, Continental, Armenian, Fast Food"
111895,650 - The Global Kitchen,India,Ahmedabad,1582,4.2,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai"
110395,Swati Snacks,India,Ahmedabad,697,4.4,"Fast Food, Street Food, South Indian"
110436,MoMo Café - Courtyard By Marriott,India,Ahmedabad,375,3.6,"North Indian, South Indian, Asian, Continental"
110516,The Garden Cafe - The Fern,India,Ahmedabad,192,4.1,"North Indian, Italian, Asian, South Indian"
110237,Kabir Restaurant,India,Ahmedabad,432,3.8,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich"
113703,Cafe Alfresco,India,Ahmedabad,404,4.0,"Cafe, Beverages, Desserts, Pizza"
18385201,Cryo Lab,India,Ahmedabad,166,4.6,"Desserts, Ice Cream"
110502,Patang - The Revolving Restaurant,India,Ahmedabad,1315,3.7,"Continental, Chinese, North Indian"
113570,Turquoise Villa,India,Ahmedabad,535,4.0,Continental
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
120219,OvenFresh,India,Chandigarh,397,4.1,"Cafe, Bakery"
123125,TGI Friday's,India,Chandigarh,228,4.3,"American, Tex-Mex"
121214,Chili's,India,Chandigarh,970,4.3,"Mexican, American, Italian"
122003,The Night Factory,India,Chandigarh,665,3.7,"North Indian, Chinese, Continental, Pizza"
122830,Uncle Jack's,India,Chandigarh,356,4.0,"Desserts, American"
123294,Karim's,India,Chandigarh,86,3.3,"Mughlai, North Indian"
120014,Barbeque Nation,India,Chandigarh,1450,4.5,"North Indian, Chinese"
123010,Taco Bell,India,Chandigarh,252,4.2,"Mexican, Fast Food"
120221,Pal Dhaba,India,Chandigarh,982,3.8,North Indian
121552,Brooklyn Central,India,Chandigarh,676,4.2,"American, Cafe"
121120,Virgin Courtyard,India,Chandigarh,817,4.4,Italian
121425,Super Donuts,India,Chandigarh,265,4.0,"Burger, Fast Food, Desserts, Beverages"
18424018,The Shooters Cafe,India,Mohali,99,4.3,"Continental, North Indian"
120519,Hops n Grains,India,Panchkula,843,4.2,"North Indian, Middle Eastern, Pizza"
120203,Nik Baker's,India,Chandigarh,698,4.1,"Bakery, Desserts, Cafe"
122940,Burgrill,India,Chandigarh,249,4.5,"Burger, Fast Food"
121335,Pirates of Grill,India,Chandigarh,1022,4.0,"North Indian, Continental, Asian"
121553,Kylin Experience,India,Chandigarh,300,4.1,"Japanese, Chinese, Thai, Malaysian, Burmese, Asian"
122064,Midnight Chef,India,Chandigarh,502,3.4,"North Indian, Chinese, Continental, Italian, Burger"
121312,Mocha,India,Chandigarh,428,4.0,"Continental, Italian, Thai, Finger Food"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
16512333,Britto's Bar & Restaurant,India,Goa,2191,4.3,"North Indian, Continental, Chinese, Seafood"
18022206,Antares,India,Goa,367,4.2,Seafood
130230,Curlies,India,Goa,1681,3.5,"Continental, North Indian, Italian, Seafood, Goan"
16512336,Fat Fish,India,Goa,856,4.2,"North Indian, Continental, Goan"
16519168,Martin's Corner,India,Goa,1115,4.4,"Goan, Seafood, Chinese, North Indian"
